UniqueID,Title,Author,PTime,DTime,MentionSourceName,MentionIdentifier,Content
072SR81Y1C_2NQY9EBZZDWVARR,"EV makers pitch for comprehensive, consistent policy to enable transition",IANS,"Last Updated: Jan 21, 2024, 07:15:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/industry/renewables/ev-makers-pitch-for-comprehensive-consistent-policy-to-enable-transition/articleshow/107032174.cms,
0CSKH4G86F_4N5I934HU7R1U94,TN Govt denies allegations of temples banning puja for Shri Ram amidst Nirmala Sitharaman's claims,ET Online,"Last Updated: Jan 21, 2024, 03:52:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/tn-govt-denies-allegations-of-temples-banning-puja-for-shri-ram-amidst-nirmala-sitharamans-claims/articleshow/107029403.cms,
0EV2MD01I7_3PWNXRXBKT7KC4S,Nepal: Devotees offer prayers at Maa Janaki Mandir ahead of 'Pran Pratishtha',ANI,"Last Updated: Jan 21, 2024, 03:15:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/international/world-news/nepal-devotees-offer-prayers-at-maa-janaki-mandir-ahead-of-pran-pratishtha/articleshow/107028825.cms,
0MYNNRWK7E_QWHVPAQCDW8BSFW,Kazakhstan can meet India's demands for rare-earths,ET Bureau,"Last Updated: Jan 21, 2024, 10:17:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/industry/indl-goods/svs/metals-mining/kazakhstan-can-meet-indias-demands-for-rare-earths/articleshow/107024033.cms,
1FD2E4KSOP_3ARK6IS5Y40X2C4,Delhi HC calls for a time-out in butter chicken battle: Moti Mahal vs. Daryaganj,ET Online,"Last Updated: Jan 21, 2024, 10:24:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/delhi-hc-calls-for-a-time-out-in-butter-chicken-battle-moti-mahal-vs-daryaganj/articleshow/107024143.cms,
2DTW9JPIA8_0EATSTH44RYEPXJ,Ram temple consecration: Uddhav sent invitation by speed post; Sanjay Raut slams govt,PTI,"Last Updated: Jan 21, 2024, 02:26:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/politics-and-nation/ram-temple-consecration-uddhav-sent-invitation-by-speed-post-sanjay-raut-slams-govt/articleshow/107027931.cms,
2KQ5RLHU5O_ZBDGFO9B0VNKJH1,PMLA Adjudicating Authority approves ED attachment order in case against ex-special judge,PTI,"Last Updated: Jan 21, 2024, 04:29:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/pmla-adjudicating-authority-approves-ed-attachment-order-in-case-against-ex-special-judge/articleshow/107029951.cms,
2QA0R6CO4L_IG9OHYII9OK6SIT,"MHA think tank alerts against 'hijack', sextortion, impersonation scams on WhatsApp",PTI,"Last Updated: Jan 21, 2024, 01:48:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/tech/technology/mha-think-tank-alerts-against-hijack-sextortion-impersonation-scams-on-whatsapp/articleshow/107027355.cms,
2VXG0X3CNA_948T3SDNU22BBY3,Russia’s BRICS Presidency priorities to echo India’s priorities for Global South,ET Bureau,"Last Updated: Jan 21, 2024, 08:46:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/russias-brics-presidency-priorities-to-echo-indias-priorities-for-global-south/articleshow/107023000.cms,
34UJSD7KQI_KT5BIZXTTJHKFI7,Ram temple consecration to be beginning of campaign for reconstruction of 'Bharatvarsh': Mohan Bhagwat,PTI,"Last Updated: Jan 21, 2024, 03:23:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/ram-temple-consecration-to-be-beginning-of-campaign-for-reconstruction-of-bharatvarsh-mohan-bhagwat/articleshow/107028955.cms,
3FUPQVED6X_B7782RG2XDVMA4F,"NATO's Steadfast Defender exercises mark return to Cold War schemes, Russia says",Reuters,"Last Updated: Jan 21, 2024, 11:53:00 AM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/defence/natos-steadfast-defender-exercises-mark-return-to-cold-war-schemes-russia-says/articleshow/107024960.cms,
453Z7IUSD7_W2L925YR7KZ03W4,Here's how Ram Mandir looks from space; ISRO releases satellite image,ET Online,"Last Updated: Jan 21, 2024, 02:04:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/india/heres-how-ram-mandir-looks-from-space-isro-releases-satellite-image/articleshow/107027543.cms,
4AF9DP4BOM_E3M4MZSFJRNCB1L,'Rule of thieves' in Punjab: Congress leader Navjot Singh Sidhu,PTI,"Last Updated: Jan 21, 2024, 10:49:00 PM IST",20240121,indiatimes.com,https://economictimes.indiatimes.com/news/politics-and-nation/rule-of-thieves-in-punjab-congress-leader-navjot-singh-sidhu/articleshow/107034503.cms,
